TIPO_IMPORTACION,ESTADO_DECLARACION,FEC_INGRESO,DISTRITO,REGIMEN,SUBPARTIDA,CODIGO_COMPLEMENTARIO,CODIGO_SUPLEMENTARIO,DESCRIPCION_ARANCELARIA,PAIS_ORIGEN,CODIGO_LIBERACION,TRATAMIENTO_PREFERENCIAL,CONVENIO_INTERNACIONAL,TIPO_UNIDAD_FISICA,PESO_NETO,FOB,FLETE,SEGURO,CIF,CANTIDAD_FISICA,SALVAGUARDIA,SALVAGUARDIA_ESPECIFICA,FODINFA,ICE_ADVALOREM,ICE_ESPECIFICO,IVA,ADVALOREM,ADVALOREM_ESPECIFICO
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-05-12,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8522909000,0000,0000,LOS DEMAS,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,2.880,648.650,3.740,6.520,658.910,1.00000,0.000,0.000,3.290,0.000,0.000,95.280,131.780,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-05-03,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,3212100000,0000,0000,HOJAS PARA EL MARCADO A FUEGO,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,0.300,15.000,0.450,0.150,15.600,9.00000,0.000,0.000,0.080,0.000,0.000,1.880,0.000,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-01-10,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8708501100,0000,0000,EJES CON DIFERENCIAL ,IT-ITALIA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,2.140,65.760,3.220,0.690,69.670,1.00000,0.000,0.000,0.350,0.000,0.000,8.400,0.000,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-07-16,019-GUAYAQUIL - AEREO,96-IMPORTACION DE TRAFICO POSTAL,9021400000,0000,0000,"AUDIFONOS, EXCEPTO SUS PARTES Y ACCESORIOS",AU-AUSTRALIA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,2.030,907.000,3.045,9.100,919.145,1.00000,0.000,0.000,4.600,0.000,0.000,116.360,45.960,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-05-31,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,9611000000,0000,0000,"FECHADORES, SELLOS, NUMERADORES, TIMBRADORES Y ARTICULOS SIMILARES (INCLUIDOS LOS APARATOS PARA IMPRIMIR ETIQUETAS), DE MANO; COMPONEDORES E IMPRENTILLAS CON COMPONEDOR, DE MANO.",CN-CHINA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,8.750,1376.000,13.130,13.890,1403.020,25.00000,0.000,0.000,7.020,0.000,0.000,169.220,0.000,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-03-07,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8409916000,0000,0001,EXCEPTO REMANUFACTURADAS PARA MOTORES 84071000; 84072900; 84081000; 84089010; Y 84089020.,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,6.500,375.930,9.750,3.860,389.540,1.00000,0.000,0.000,1.950,0.000,0.000,46.990,0.000,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-06-28,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,3921909000,0000,0000,Las demás,"VE-VENEZUELA, BOLIVARIAN REPUBLIC OF",NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,1.260,80.000,1.890,0.820,82.710,43.00000,0.000,0.000,0.410,0.000,0.000,11.960,16.540,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-06-21,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,3921909000,0000,0000,Las demás,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,1.060,88.260,1.590,0.900,90.750,1.00000,0.000,0.000,0.450,0.000,0.000,13.120,18.150,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-01-17,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8539292000,0000,0000,TIPO MINIATURA,PA-PANAMA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,0.500,19.790,11.640,0.310,31.740,7.00000,0.000,0.000,0.160,51.790,0.000,11.190,9.520,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-11-18,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,9503009900,0000,0000,LOS DEMÁS,HK-HONG KONG,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,1.200,24.000,1.800,0.260,26.060,3.00000,0.000,0.000,0.130,0.000,0.000,4.080,7.820,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-12-20,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8414901000,0000,0000,De compresores,PA-PANAMA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,6.020,33.350,9.040,0.420,42.810,1.00000,0.000,0.000,0.210,0.000,0.000,5.420,2.140,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-02-18,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8421310000,0000,0000,Filtros de entrada de aire para motores de encendido por chispa o compresión:,IT-ITALIA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,1.210,45.450,1.810,0.470,47.730,5.00000,0.000,0.000,0.240,0.000,0.000,6.620,7.160,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-09-14,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8414901000,0000,0000,De compresores,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,0.840,19.700,1.260,0.210,21.170,1.00000,0.000,0.000,0.110,0.000,0.000,2.680,1.060,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-11-26,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8708501100,0000,0000,EJES CON DIFERENCIAL ,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,8.900,152.560,13.340,1.660,167.560,2.00000,0.000,0.000,0.840,0.000,0.000,20.200,0.000,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-05-22,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8421310000,0000,0000,Filtros de entrada de aire para motores de encendido por chispa o compresión:,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,9.020,510.250,13.590,5.240,529.080,43.00000,0.000,0.000,2.650,0.000,0.000,73.340,79.360,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-12-25,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,9807203090,0000,0000,Los demas,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,22.680,378.000,34.020,4.120,416.140,1.00000,0.000,0.000,2.080,0.000,0.000,60.170,83.230,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-08-07,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,9503009900,0000,0000,LOS DEMÁS,HK-HONG KONG,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,1.200,52.000,12.270,0.640,64.910,1.00000,0.000,0.000,0.320,0.000,0.000,10.160,19.470,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-10-19,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8205909000,0000,0000,Los demás,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,2.260,66.900,3.390,0.700,70.990,1.00000,0.000,0.000,0.350,0.000,0.000,9.840,10.650,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-01-05,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8504409000,0000,0000,LOS DEMAS,HK-HONG KONG,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,24.550,160.000,36.830,1.970,198.800,50.00000,0.000,0.000,0.990,0.000,0.000,25.170,9.940,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-01-31,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8504409000,0000,0000,LOS DEMAS,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,39.070,1899.780,87.940,19.877,2007.597,185.00000,0.000,0.000,10.030,0.000,0.000,254.210,100.380,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-05-24,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,9405990000,0000,0000,LAS DEMAS,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,8.980,42.000,13.470,0.550,56.020,42.00000,0.000,0.000,0.280,0.000,0.000,8.450,14.010,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-10-11,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8539490000,0000,0001,"Lámparas y tubos de rayos ultravioletas, Excepto Incandescentes.",DE-ALEMANIA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,2.440,2906.400,3.150,29.090,2938.640,7.00000,0.000,0.000,14.700,0.000,0.000,460.190,881.590,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-10-01,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,6704900000,0000,0000,De las demás materias,CN-CHINA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,3.550,35.000,5.330,0.410,40.740,46.00000,0.000,0.000,0.200,0.000,0.000,6.380,12.220,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-07-20,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8539500000,0000,0000,- Lámparas y tubos de diodos emisores de luz (LED),HK-HONG KONG,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,42.980,970.000,64.170,10.340,1044.510,160.00000,0.000,0.000,5.220,0.000,0.000,132.240,52.230,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-01-19,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8504409000,0000,0000,LOS DEMAS,FI-FINLANDIA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,10.000,1250.000,15.000,12.650,1277.650,1.00000,0.000,0.000,6.390,0.000,0.000,161.760,63.880,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-01-11,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8504409000,0000,0000,LOS DEMAS,CN-CHINA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,19.400,1349.240,29.100,13.780,1392.120,10.00000,0.000,0.000,6.960,0.000,0.000,176.250,69.610,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-05-18,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,4802699000,0000,0000,Los demás,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,4.860,275.960,79.890,3.560,359.410,4.00000,0.000,0.000,1.800,0.000,0.000,43.350,0.000,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-08-14,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8504409000,0000,0000,LOS DEMAS,HK-HONG KONG,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,6.370,440.000,191.610,4.810,636.420,21.00000,0.000,0.000,3.180,0.000,0.000,80.580,31.820,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-05-11,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8504409000,0000,0000,LOS DEMAS,CO-COLOMBIA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,0.460,138.000,0.680,1.390,140.070,1.00000,0.000,0.000,0.700,0.000,0.000,17.730,7.000,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-12-06,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,9404290000,0000,0000,DE OTRAS MATERIAS,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,47.400,397.750,71.100,4.690,473.540,18.00000,0.000,0.000,2.370,0.000,0.000,74.160,142.060,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-05-29,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,3919909090,0000,0000,Los demás,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,1.480,1228.930,2.230,12.311,1243.471,109.00000,0.000,0.000,6.210,0.000,0.000,172.350,186.520,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-07-22,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8504409000,0000,0000,LOS DEMAS,CN-CHINA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,2.090,77.000,3.130,0.800,80.930,700.00000,0.000,0.000,0.400,0.000,0.000,10.250,4.050,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-09-27,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8507903000,0000,0000,PLACAS,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,0.290,100.500,0.430,1.010,101.940,4.00000,0.000,0.000,0.510,0.000,0.000,13.520,10.190,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-01-22,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8465911000,0000,0000,De control numérico,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,19.870,566.000,29.800,5.960,601.760,1.00000,0.000,0.000,3.010,0.000,0.000,76.210,30.090,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-10-01,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8504409000,0000,0000,LOS DEMAS,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,71.170,2497.490,283.400,27.810,2808.700,699.00000,0.000,0.000,14.060,0.000,0.000,355.580,140.450,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-05-02,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8504409000,0000,0000,LOS DEMAS,DE-ALEMANIA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,1.300,59.690,2.100,0.620,62.410,1.00000,0.000,0.000,0.310,0.000,0.000,7.900,3.120,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-03-09,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8539500000,0000,0000,- Lámparas y tubos de diodos emisores de luz (LED),AT-AUSTRIA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,2.820,352.820,3.000,3.560,359.380,2.00000,0.000,0.000,1.800,0.000,0.000,45.500,17.970,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-05-28,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8708950000,0000,0000,BOLSAS INFLABLES DE SEGURIDAD CON SISTEMA DE INFLADO (AIRBAG); SUS PARTES ,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,3.000,525.800,4.500,5.303,535.603,1.00000,0.000,0.000,2.680,0.000,0.000,71.020,53.560,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-06-28,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8482500000,0000,0000,RODAMIENTOS DE RODILLOS CILINDRICOS,IT-ITALIA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,9.350,1364.550,13.870,13.780,1392.200,4.00000,0.000,0.000,6.960,0.000,0.000,167.900,0.000,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-10-05,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8441900000,0000,0000,Partes,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,12.330,1768.680,19.320,10.630,1798.630,13.00000,0.000,0.000,8.990,0.000,0.000,227.700,89.930,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-06-23,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8441900000,0000,0000,Partes,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,2.940,991.000,4.430,9.950,1005.380,4.00000,0.000,0.000,5.030,0.000,0.000,127.280,50.270,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-10-03,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8534000000,0000,0000,CIRCUITOS IMPRESOS.,CN-CHINA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,1.660,76.130,68.170,1.450,145.750,106.00000,0.000,0.000,0.730,0.000,0.000,18.450,7.290,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-03-11,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8434909000,0000,0000,Las demás,DE-ALEMANIA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,33.110,1949.420,351.480,19.990,2320.890,90.00000,0.000,0.000,11.600,0.000,0.000,279.940,0.000,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-04-18,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8441900000,0000,0000,Partes,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,4.930,1615.900,7.640,16.230,1639.770,7.00000,0.000,0.000,8.200,0.000,0.000,207.610,81.990,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-02-05,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8536700000,0000,0000,"CONECTORES DE FIBRAS ÓPTICAS, HACES O CABLES DE FIBRAS ÓPTICAS",CN-CHINA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,68.610,1234.760,102.910,13.370,1351.040,2145.00000,0.000,0.000,6.760,0.000,0.000,163.030,0.000,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-09-25,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8534000000,0000,0000,CIRCUITOS IMPRESOS.,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,1.450,20.500,2.180,0.230,22.910,2.00000,0.000,0.000,0.120,0.000,0.000,2.910,1.150,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-12-13,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8534000000,0000,0000,CIRCUITOS IMPRESOS.,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,1.360,199.690,101.200,3.010,303.900,13.00000,0.000,0.000,1.520,0.000,0.000,38.470,15.190,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-01-10,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8534000000,0000,0000,CIRCUITOS IMPRESOS.,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,0.530,490.570,1.060,4.920,496.550,3.00000,0.000,0.000,2.480,0.000,0.000,62.860,24.830,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-07-03,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8708993300,0000,0000,TERMINALES,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,4.880,291.740,7.320,2.991,302.051,6.00000,0.000,0.000,1.510,0.000,0.000,36.430,0.000,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-05-16,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8708993300,0000,0000,TERMINALES,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,6.030,180.900,9.040,1.890,191.830,6.00000,0.000,0.000,0.960,0.000,0.000,23.140,0.000,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-12-26,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,5810990000,0000,0000,De las demás materias textiles,PK-PAKISTAN,NO APLICA,NO APLICA,NO APLICA,19-PARES,15.910,150.000,23.810,1.740,175.550,339.00000,0.000,0.000,0.880,0.000,0.000,25.380,35.110,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-10-10,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8441900000,0000,0000,Partes,MR-MAURITANIA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,0.740,273.110,1.500,2.750,277.360,36.00000,0.000,0.000,1.390,0.000,0.000,35.110,13.870,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-11-24,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8534000000,0000,0000,CIRCUITOS IMPRESOS.,"KR-COREA, REPUBLICA DE",NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,1.100,880.000,1.640,8.810,890.450,100.00000,0.000,0.000,4.450,0.000,0.000,112.730,44.520,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-11-11,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,7312109000,0000,0000,Los demás,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,80-PIE LINEAL,1.360,308.520,2.040,3.106,313.666,300.00000,0.000,0.000,1.570,0.000,0.000,47.240,78.420,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-12-14,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8311900000,0000,0000,Los demás,CN-CHINA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,0.810,18.680,3.190,0.220,22.090,10.00000,0.000,0.000,0.120,0.000,0.000,2.930,2.210,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-05-17,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8536700000,0000,0000,"CONECTORES DE FIBRAS ÓPTICAS, HACES O CABLES DE FIBRAS ÓPTICAS",CN-CHINA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,0.220,36.300,0.340,0.366,37.006,30.00000,0.000,0.000,0.190,0.000,0.000,4.460,0.000,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-05-30,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8523510000,0000,0000,DISPOSITIVOS DE ALMACENAMIENTO PERMANENTE DE DATOS A BASE DE  SEMICONDUCTORES,SG-SINGAPUR,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,0.240,81.000,1.500,0.830,83.330,1.00000,0.000,0.000,0.420,0.000,0.000,11.050,8.330,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-03-10,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8536901000,0000,0000,APARATOS DE EMPALME O CONEXION PARA UNA TENSION INFERIOR O IGUAL A 260 V E INTENSIDAD INFERIOR O IGUAL A 30 A,US-ESTADOS UNIDOS,0656-Exoneración de derechos aduaneros y adicionales del artículo 38 de la Ley de Educación Superior,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,0.680,158.710,1.020,1.600,161.330,24.00000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-07-23,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8518400000,0000,0000,AMPLIFICADORES ELECTRICOS DE AUDIOFRECUENCIA,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,18.300,854.000,27.450,8.810,890.260,4.00000,0.000,0.000,4.460,0.000,0.000,112.710,44.520,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-10-19,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,7326909000,0000,0000,Las demás,MY-MALAYSIA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,2.110,9.360,3.170,0.130,12.660,26.00000,0.000,0.000,0.060,0.000,0.000,1.910,3.170,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2018-04-03,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,5208490000,0000,0000,Los demás tejidos,IT-ITALIA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,3.290,239.330,31.140,2.700,273.170,20.60000,0.000,0.000,1.370,0.000,0.000,39.500,54.630,0.000
