TIPO_IMPORTACION,ESTADO_DECLARACION,FEC_INGRESO,DISTRITO,REGIMEN,SUBPARTIDA,CODIGO_COMPLEMENTARIO,CODIGO_SUPLEMENTARIO,DESCRIPCION_ARANCELARIA,PAIS_ORIGEN,CODIGO_LIBERACION,TRATAMIENTO_PREFERENCIAL,CONVENIO_INTERNACIONAL,TIPO_UNIDAD_FISICA,PESO_NETO,FOB,FLETE,SEGURO,CIF,CANTIDAD_FISICA,SALVAGUARDIA,SALVAGUARDIA_ESPECIFICA,FODINFA,ICE_ADVALOREM,ICE_ESPECIFICO,IVA,ADVALOREM,ADVALOREM_ESPECIFICO
IMP.SMPL.,10-SALIDA AUTORIZADA,2017-04-29,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8481801000,0000,0000,CANILLAS O GRIFOS PARA USO DOMESTICO,CN-CHINA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,6.390,60.000,9.590,0.700,70.290,3.00000,16.380,0.000,0.350,0.000,0.000,14.150,14.060,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2017-09-05,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,4009110000,0000,0000,Sin accesorios,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,3.330,88.000,5.000,0.930,93.930,7.00000,0.000,0.000,0.470,0.000,0.000,11.330,0.000,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2017-09-28,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,4009110000,0000,0000,Sin accesorios,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,1.970,59.420,2.990,0.620,63.030,4.00000,0.000,0.000,0.310,0.000,0.000,7.600,0.000,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2017-09-06,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,3926904000,0000,0000,Juntas o empaquetaduras,IT-ITALIA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,7.950,333.620,11.930,3.460,349.010,2.00000,0.000,0.000,1.750,0.000,0.000,50.470,69.800,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2017-10-06,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8409917000,0000,0001,EXCEPTO REMANUFACTURADAS PARA MOTORES 84071000; 84072900; 84081000; 84089010; Y 84089020.,GB-REINO UNIDO DE GRAN BRETAÑA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,0.140,26.250,5.100,0.310,31.660,8.00000,0.000,0.000,0.160,0.000,0.000,3.820,0.000,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2017-05-08,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8424909000,0000,0000,LOS DEMÁS,CN-CHINA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,2.200,100.000,3.300,1.030,104.330,5.00000,0.000,0.000,0.520,0.000,0.000,16.140,10.430,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2017-06-08,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8424909000,0000,0000,LOS DEMÁS,CN-CHINA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,1.410,327.000,2.120,3.291,332.411,1.00000,0.000,0.000,1.660,0.000,0.000,44.080,33.240,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2017-03-06,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,4009110000,0000,0000,SIN ACCESORIOS,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,4.590,335.250,6.885,3.423,345.558,4.00000,0.000,0.000,1.730,0.000,0.000,48.620,0.000,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2017-02-17,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8504401000,0000,0000,UNIDADES DE ALIMENTACION ESTABILIZADA (UPS),US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,24.590,250.000,36.890,2.860,289.750,2.00000,43.470,0.000,1.450,0.000,0.000,48.880,14.490,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2017-11-26,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8450900000,0000,0000,Partes,PA-PANAMA,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,0.440,19.170,0.660,0.200,20.030,6.00000,0.000,0.000,0.100,0.000,0.000,2.540,1.000,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2017-06-03,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,3102909000,0000,0000,LOS DEMÁS ,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,1.360,70.000,2.040,0.720,72.760,2.00000,0.000,0.000,0.360,0.000,0.000,8.770,0.000,0.000
IMP.SMPL.,10-SALIDA AUTORIZADA,2017-02-02,019-GUAYAQUIL - AEREO,91-COURIER IMPORTACION,8424909000,0000,0000,LOS DEMÁS,US-ESTADOS UNIDOS,NO APLICA,NO APLICA,NO APLICA,11-NUMERO DE UNIDADES,2.090,1212.040,3.135,12.152,1227.327,215.00000,0.000,0.000,6.140,0.000,0.000,189.870,122.730,0.000
